127.0.0.1 - - [03/Jul/2021:22:40:18 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:40:30 +0530] "GET /DAA_WT/ HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:40:37 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:41:15 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:42:45 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:45:26 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:45:29 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:29 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:36 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:39 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:40 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:40 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:40 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:40 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:41 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:41 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:41 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:41 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:41 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:41 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:42 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:42 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:42 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:42 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:42 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:43 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:43 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:43 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:43 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:44 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:45 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:51:48 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:52:38 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:53:19 +0530] "GET /DAA_WT/ HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [03/Jul/2021:22:54:04 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:23:05:11 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:23:08:13 +0530] "GET /DAA_WT/GreedyKnapsack.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:23:08:17 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jul/2021:23:08:35 +0530] "POST /DAA_WT/greedy HTTP/1.1" 200 161
